행정구역,소멸위험지수_역수처리,다세대주택,단독주택,폐가계산값,폐가지수,방문자,방문자지수,가중치점수,최종점수
인천광역시 계양구,0.0583304405065211,2827.0,20.0,862.1,0.1282219082323195,75037417.0,0.1761526470149176,0.3240126331997288,21.65346735161102
부산광역시 기장군,0.0959033773276418,677.0,325.0,430.6,0.0640440246895218,76815616.5,0.1805741908958145,0.3105005789151454,21.45595386354875
충청남도 아산시,0.0430662866112663,1505.0,1130.0,1242.5,0.1847995835502342,101939110.0,0.2430444755582937,0.28364123259044677,21.063335312147828
충청남도 계룡시,0.0568402516336206,139.0,39.0,69.0,0.0102625120844798,14612787.0,0.0259050774750772,0.263178639471388,20.764221790501036
경기도 의왕시,0.0485754475678109,1690.0,135.0,601.5,0.0894623336060087,55062024.5,0.1264832626309445,0.2582977133951917,20.692874479871627
경상남도 양산시,0.0774798546511283,524.0,988.0,848.8,0.1262437718450212,107089692.5,0.2558515461574754,0.25442749647575424,20.636301287726603
경기도 이천시,0.0617104794635943,2063.0,262.0,802.3,0.1193277310924369,87713353.0,0.2076717241800168,0.2511921422352486,20.589008249399456
울산광역시 남구,0.0544044383044123,1715.0,915.0,1155.0,0.1717855283706403,117522762.0,0.2817936716651573,0.2237914333036678,20.188476288642722
광주광역시 북구,0.0639169462267849,658.0,1444.0,1208.2,0.1796980739198334,133120410.5,0.3205776704693161,0.21752361195479242,20.096855930176577
경기도 파주시,0.0524265037334708,3095.0,700.0,1418.5,0.2109764259686175,141031362.5,0.3402484787265837,0.21456483912003899,20.053605841724607
경기도 양주시,0.07120504057795,1600.0,138.0,576.6,0.0857589053320443,88573226.0,0.209809822971237,0.19368227294340895,19.748353331753314
경기도 부천시,0.0545830514542901,7982.0,204.0,2537.4,0.3773927270023054,249449399.5,0.6098330265100038,0.18542738525835922,19.62768687897739
서울특별시 양천구,0.0634693756691532,2306.0,22.0,707.1999999999999,0.1051833122629582,99512420.0,0.2370104415141194,0.15887593210640177,19.239568979603007
대구광역시 수성구,0.0965819463911837,505.0,771.0,691.1999999999999,0.1028035993158325,136202584.0,0.3282415829711403,0.13483736396113533,18.88818336921426
경상남도 김해시,0.0507175880727645,1075.0,1416.0,1313.6999999999998,0.1953893061649438,151262051.5,0.365687379336616,0.10838110018542191,18.50145690783535
대구광역시 중구,0.0441965918209439,167.0,856.0,649.3,0.0965717260355469,89973271.5,0.213291076122811,0.08411598496573813,18.146759728240617
광주광역시 서구,0.0538481002798992,208.0,994.0,758.1999999999999,0.1127686472819216,113058400.0,0.2706929079526444,0.06616062733997197,17.884295913384804
인천광역시 중구,0.0362657437954972,1499.0,734.0,963.5,0.1433033390347289,117327458.5,0.2813080439302812,0.04862264822111029,17.627933160810468
서울특별시 금천구,0.0463743518602095,689.0,25.0,224.2,0.0333457276715996,63578158.0,0.1476588719851402,0.036591198345565956,17.45206252106056
